PHYHIP	EEF1A1
UBC	S100A10
DUSP5	FOS
SRA1	TBK1
MDFI	UBC
MAFF	SCAND1
KLRD1	HLA-C
COPZ1	RAD21
OAS2	MX1
LCK	B2M
NR2F2	NR3C1
YWHAZ	TSC1
MAFF	ZCCHC2
LPXN	NFKB1
RPS19	SEC61G
FOS	INCENP
IKBKG	TAF7
ADAR	MX1
CTSB	CD74
CCL2	CCR2
CCL2	CXCR3
CCL2	FAM104A
FOS	SORBS2
GDAP1	TUBB
CCDC50	UBC
IL1RL1	MYD88
YWHAZ	FN1
KIAA0232	YWHAZ
ACTB	SPTBN2
UBC	UBE3C
HERC5	ISG15
VIM	YWHAZ
ATF3	RLF
NCOR2	FOS
TBK1	DDX3X
TGFB1	UBC
MAPKAPK3	ATF4
IFIT3	MX1
ICAM1	STAT1
FGR	TAF7
RPS13	EIF4G1
IRF7	UBC
IL23R	CXCL1
RAB8B	TUBB
ACTB	POLR2A
MAML2	RAD21
CEBPB	DDIT3
HSF1	TAF7
TRAF6	NFKB1
GCH1	RAD54L
UBC	UQCRC2
C1S	STAT1
FKBP5	NR3C1
COL4A4	TGFBI
USP32	YWHAB
TRIM28	CBX1
FOS	SDC2
TNFSF10	MAPK3
FANCD2	UBC
LAS1L	UBC
ALDOC	UBC
GDI2	RAB8A
RBX1	HIF1A
GHRL	FOS
GFM1	STAT1
FOSL1	IL6
SPTBN1	UBC
ABCA1	UBC
CUL3	COPS5
NFKB1	LYL1
ITGB2	ICAM1
FOS	NUBP2
UBC	PSMB10
STAT1	VDR
RRM2	PNPT1
FOS	CCL1
COL1A2	MMP9
GIPR	ADM
MAFF	SLC26A1
PARD3	YWHAZ
CEBPB	MLLT11
TFF3	HIF1A
CD4	CTSD
IL6	SH3GL2
HIF1A	RUVBL2
DDIT3	SSX3
ANXA2	SCYL2
C5AR1	DRD2
PSMB10	PSMB9
CBL	YWHAZ
AURKA	SOD2
STAT1	IL2RB
CCL2	ZNF485
FOS	PDCD1LG2
PTMA	TAF7
SNCAIP	UBC
CSNK1G2	PRDX1
LZTR1	RAD21
NR3C1	PNMT
NFKB1	ITGB2
CEBPB	MMP1
PELI2	MYD88
GNAI2	CXCL12
IL12B	IL6
POLR2C	UBC
MYCBP2	UBC
LYZ	TGFBI
GPBP1L1	TBK1
NR1H3	TFAP2A
PRKCA	ANXA2
UBC	SQSTM1
DDA1	FOS
JUNB	MMP9
BLMH	UBC
RPLP1	NUDT3
SLC1A2	TAP1
ALDOB	HSPA8
UBC	PSMC6
GAPVD1	YWHAB
HDAC6	UBC
STAT1	SOCS3
RGS2	HTR2A
RAD21	SF3A2
MYC	DDIT3
NFYB	DDIT3
HIF1A	SLC2A1
YWHAZ	TNFAIP3
CCL20	FOSL2
FOS	VGLL4
CTGF	TAF7
SUMO2	TTK
IGF1R	UBC
PYCARD	AIM2
DDIT3	CEBPB
UBC	E2F1
CEBPB	MMP19
CTNNB1	MMP9
LRP6	UBC
CCR7	CCL21
IGF2R	CTSD
GCH1	SKIV2L2
SMG1	STAT1
GART	UBC
C5AR1	C5
TAGLN2	TBK1
BASP1	RAD21
CXCL10	CCR5
NEDD9	NR3C1
HIST3H3	UBC
TAF9	CHD8
SH3D19	HCK
SNCA	UBC
PSMB8	PSMB9
MAFF	ST3GAL5
B2M	GSN
TGFBI	CTGF
CEBPB	XRN2
CLIC1	SPI1
ACTB	PSTPIP1
ABCG1	CEBPB
FOS	SPATA12
MALAT1	MXI1
NRIP2	TBK1
MAGEB6	TBK1
PRKCD	YWHAG
ACTG1	UBC
ALDH3B1	NR3C1
HIST2H2BE	NCL
IRF3	IFIT3
PTPN6	STAT6
ETF1	SMG5
TBK1	TRIM28
CCL20	CCR7
TTLL12	UBC
PSMA8	UBC
IRF2	PRKACA
ATF4	USF1
RABAC1	LNX1
ADAR	XPO1
CSF2RB	YWHAZ
GRK7	CCR7
DLG1	UBC
FKBP8	HSP90AA1
MX1	IFITM1
HIF1A	NOX4
PRKCE	STAT1
SSR2	TCF4
LY96	TLR2
HMGB1	UNC119
EHMT1	UBC
CCR1	STAT1
GTF2B	SDF2L1
CTGF	RAD21
AMT	GLUL
ILK	FOS
PSD4	UBC
TUBB	YWHAZ
EPOR	STAT1
FOS	FOSL2
CHD1L	RAD21
PNN	YWHAG
YWHAZ	TPH1
IRF7	MX1
UBC	ATXN3
RAF1	YWHAZ
RIPK2	IL1B
JAK1	IFIT1
ANXA5	FDFT1
CXCL16	C5AR1
MAPK1	RAD21
UBC	SPRY2
IL6	CRP
B2M	CST3
PML	STAT1
WASL	HSP90AA1
UBB	TBK1
FOS	ZSWIM1
FOS	SHC1
ABCC11	STAT1
ATF4	DDIT3
HSPA1A	APEX1
IFIT1	ISG15
TYK2	FOS
PRKCQ	B2M
HIST1H2AJ	TAF7
TRIM22	UBC
SF3B3	UBC
TP53	FOS
HSPA8	HSF1
HLA-A	DERL1
YWHAG	DYRK1A
MYD88	FLII
NR3C1	SSU72
SLC10A2	UBC
ARNTL	FOS
APCS	B2M
PSMC1	UBC
HMGB1	IRF2
DDX58	UBC
CTSD	TYK2
RAI14	YWHAZ
DDIT3	TTK
PSMA3	UBC
OPTN	UBC
CSNK1G1	YWHAZ
ITGA1	ITGB2
RPLP2	UBC
PSMA6	PSME3
PSMB3	STAT1
MYOD1	UBC
RGS2	KIAA1377
B2M	BCLAF1
IL6	IL7
IKBKE	IRF7
STAT1	TOP3B
PNPT1	POLR3GL
RPS6KA4	FOS
CEBPB	MRPS15
STAT1	UBE2L6
ARHGAP24	FOS
RAB27A	STAT1
KISS1	MMP9
HSPA5	SYVN1
ANXA2	CEACAM1
RBM17	TBK1
MYD88	CASP1
HIST1H1C	TAF7
ACTB	GSN
CKS2	EEF1A1
NFKBIZ	NFKB1
HDAC10	HSPA8
ACTB	SMAD3
ADAR	HDAC5
IL6	ATP2A2
LYN	UBC
ETF1	NTRK3
IFI30	OAS1
LMAN1	UBC
CYLD	STAT1
JAK1	ISG15
GLA	USF2
IL6	NFATC1
GPR18	C5AR1
PSMC5	FOS
CSF2RB	LYN
RPS13	RPL32
NEDD4	UBC
AIM2	STAT1
DDIT3	FOS
ACTB	CORO1A
HSPA5	BCAR1
SEC61B	SRP54
BCL2L11	UBC
ISG15	RGS3
PRDX1	IRF3
UBC	UBQLN1
BATF	CCR7
SARS2	EEF1A1
TOPORS	UBE2L6
SELL	GRB2
CXCL10	CCL20
MARK2	YWHAZ
RPS7	UBC
GRIN2B	UBC
BCL2	MMP9
GTF2I	STAT1
PML	FOS
GPR158	UBC
METTL3	NR3C1
HLA-F	TAP1
AKT2	HSP90AA1
HMOX1	BLVRB
IL6	TLR7
HSF1	STAT1
ISG15	STAT2
DAPK1	UBC
MAP2K5	FOS
FOS	IL2
NR3C1	STOM
GTF2B	RPL36
UBC	UNG
HSPA8	RB1
IFI6	ISG15
HSP90AB1	MAX
ACTB	PCYT1B
PSMA1	PSMB9
PSEN1	CASP1
FOS	LRRC48
DAXX	NR3C1
RPS19	RPL3
MYD88	IRF1
UBC	YWHAQ
FOS	PDE4DIP
RPS10	UBC
HSPA1A	PPP1R15A
HMOX1	NOS1
CCL20	CCR9
PRDX1	STK17A
TP53BP2	YWHAG
CEBPB	HDAC1
MARK4	UBC
ETS1	FOS
IREB2	FTL
TAF9	GTF2E1
SDF2L1	STAT1
ATF3	DAD1
LRRFIP1	TBK1
RYR2	UBC
PPBP	CXCL10
NFKB1	PSMB9
HSPA1A	YWHAQ
CFTR	HSP90AA1
HDAC1	PTMA
CEBPB	NOLC1
FOS	ZNF687
LY6E	STAT1
VCAM1	B2M
HSPA8	MEN1
PTGS2	ALOX15B
ACTB	CPNE1
CXCL10	CXCL11
STAT1	GTF2I
HIF1A	MCL1
IFI44	IFIT1
MAFF	TXNDC11
FAU	PXN
SIAH1	UBC
CCNL1	CEBPB
BRCA1	UBC
SREBF1	UBC
NEK3	YWHAZ
HSF1	UBC
FOS	UGP2
FDXR	TBK1
TNIP2	TNFAIP3
TNFAIP3	YWHAG
AR	CEBPB
TMPO	UBC
TLN1	UBC
IL1B	FN1
UBC	WDR77
ATF3	CDK4
ITPR1	LYN
CASP9	CEBPB
ADRA2B	YWHAZ
TRPC3	MX1
GCH1	POLR2B
FOS	ZNF436
YWHAG	TAF15
HCK	IRF5
UBC	USP4
CXCL13	CXCR4
ACTG1	DYNLL1
CEBPG	UBC
AKT1S1	IRF1
DOCK4	YWHAB
EXO1	YWHAZ
FOSL2	RTN4
SEMG1	UBC
TIMP1	RECQL5
IRF1	UQCRH
ASPSCR1	UBC
IFNAR1	STAT1
PIK3R2	NFKB1
CEBPB	STAT3
POT1	RPS6
CDK4	LYN
COL18A1	MMP9
MAFF	MANBA
HSPA8	CYCS
PTPN11	STAT1
SRP54	SSR2
HSP90AA1	BIRC5
ASNSD1	CEBPB
TLR2	FGF10
DDX24	HSP90AB1
MAP4K4	CEBPB
DLD	UBC
BDKRB1	C3
ABLIM2	CEBPB
FOS	TGFBR2
NFKB1	NKRF
STAT3	CEBPB
KPNA3	NFKB1
HIST2H2BE	SUPT16H
CEBPB	ZCCHC3
OPRK1	CCL20
FKBP5	HSP90AA1
CALR	HLA-F
IL12RB1	CXCL1
FOS	TRIB1
GORASP2	RAB1A
DLL1	UBC
PPP1CC	ACTB
ALDOC	IRF1
FOS	VDR
ACTB	DSTN
RPS12	USP38
CAPN1	CREG1
NID1	HSPA1A
ESR1	HSP90AA1
RPS13	RPL29
BID	UBC
STAT1	TXNIP
PML	IRF7
DNM2	HMGB1
STAT1	KPNA6
MAFF	ZNF3
C3	CXCL10
UBB	MAPT
GMNN	PSMA6
UBC	VDAC1
NFKB1	NFRKB
MAP3K3	HSP90AA1
MAPK3	YWHAZ
RBM12	UBC
TAF9	MNAT1
ITGB2	HCK
APOB	HSPA8
STAT1	JAK2
ELF1	TTC14
FOS	ZNF438
MAPK10	IL6
BCAR1	YWHAZ
CREBBP	UBC
BAMBI	RAD21
TNS1	YWHAZ
ATXN1	YWHAZ
FLAD1	FOS
YWHAZ	MAP3K3
JUN	NEU1
ANAPC10	UBC
CCS	UBC
BECN1	RAD21
CCL21	CCL20
PARP2	TAF7
DOT1L	FOS
YWHAZ	PPP1CC
EHMT1	NR3C1
ADAM9	CEBPB
PTPN6	TAF7
DOCK1	UBC
NFKB1	G3BP2
JAK2	STAT1
IRF7	ADAR
APEX1	ATF3
PTGS2	BMP2
RGS2	KNG1
RB1	UBC
HIF1A	MAPK3
IRF1	UBC
ACTB	BCL7C
DAB2	FOS
LY96	CD14
ACTB	BCL3
B2M	NPPA
CBS	UBC
POU2F2	UBC
SEC61B	UBC
HLA-C	KIR2DL4
TLR1	MYD88
MAP1LC3B	TCF4
PPP2R3A	HMGB1
ATF4	CEBPG
NOS3	MMP9
SALL2	UBC
MMP2	HSP90AA1
NFKB1	PTPN6
UBC	CDC23
RPS6KA5	FOS
YWHAZ	DFFA
IGSF8	IRF1
FOS	NUMB
IFI44	MX1
IRF7	PIAS4
BLCAP	RAD21
ATF4	CSNK1G1
SNX9	UBC
MRPL52	RAD21
DHX32	IRF3
IFITM2	STAT1
PSMD9	UBC
TSC2	UBC
ATP6V1A	ATP6V0C
MX2	IFIT3
UBC	SUMO1
NFKB1	RPL23A
CANX	CALR
PBK	PSMA6
BRE	UBC
SERPINC1	IL6
IFNGR2	STAT1
MT2A	NR3C1
CUL2	HIF1A
ELP4	FOS
OASL	B2M
YWHAQ	AKT1S1
SP2	TUBB
RAD23B	UBC
TLR2	MYD88
HSPA8	PSMF1
FUT8	RAD21
NFKBIB	NFKB1
GADD45G	MAP3K4
RPS9	STAT1
UBE2E1	ISG15
HMGN1	YWHAZ
YWHAQ	HDAC4
ANXA2	MAP4K2
BCL10	UBC
NPM1	UBC
SND1	STAT6
CCR2	CXCL10
NR3C1	TIMM22
TIMP1	SERPINF2
FOS	ING1
CFLAR	UBC
CCL2	IL12B
ANXA2	SRC
MYD88	CIITA
MYD88	IFNB1
UBC	ZSWIM2
HCK	UBC
NFKB1	IER3
SEC61B	TRAM1
EIF4G1	ISG15
ANKRD39	IRF1
HIF1A	MCM7
YES1	HCK
ACTB	SIN3A
SNX3	UBC
CASP1	PARP1
SGOL1	UBC
PSMA6	CDC26
HSP90AA1	EIF2AK2
CALR	HLA-C
HERPUD1	TOLLIP
CASP1	PSEN1
CLCF1	NR3C1
NFKB2	IL1B
BACH2	UBC
MX2	HLA-A
TOP1	BTBD1
IRF7	IRAK1
MDC1	UBC
IRAK1	DYNLT1
ATP6V1F	ATP6V0D1
CTSD	IFI30
GNAI2	CXCR4
EDN1	IL6
CYB5R3	UBC
ABCA1	COPS5
PLCG1	UBE2L6
BGN	TGFBI
PTAFR	UBC
CALR	SP1
IL1B	IL12A
TBK1	UBA52
MAF1	SUMO2
ACTB	NCKAP1
CXCL6	CXCR4
ATP6V0D1	ATP6AP2
GSN	TGFBI
HSPA5	HSPA1A
EPO	HIF1A
ELF1	RAB1A
YWHAG	DDX17
FOS	OSGEP
KIAA0907	TBK1
AGGF1	TBK1
SYVN1	UBC
UBC	RPL24
NFKB1	STAT4
IL6	CCR7
IFIT3	HLA-A
MAP1LC3B	MYBL2
RPS13	RPL37A
TLR3	IL6
BATF	MX2
NPM1	TBK1
ETF1	PAK6
FTL	TAL1
YWHAG	RASSF8
IFITM1	HLA-A
TRIM5	UBC
NR4A1	NR3C1
HDAC3	HSPA8
HIP1	NR3C1
LILRB1	HLA-C
STAT1	TRIM21
TBK1	ZNF223
HSPA5	DNAJC1
STAT1	WDR25
TSPAN15	RGS2
HLA-C	RFX5
MDN1	UBC
TBK1	ZDHHC5
ATP5G1	FOS
B2M	IRF2
YWHAZ	SNX24
UBC	USP25
RPS5	RPN2
HSPA5	DDX24
PAK1	YWHAZ
TIMP2	MMP9
GAL3ST1	GLA
SMARCA4	STAT1
CXCL2	CCR7
ATF3	MFSD1
CCL2	CCR9
JUP	UBC
PARD6A	YWHAZ
CDKN2A	HIF1A
YWHAQ	CTNNB1
HSPA8	PSME4
FANCF	UBC
CCL13	CCR7
CEBPB	ECE2
IRF7	MYD88
PTPRO	YWHAZ
LDHB	UBC
OAS3	IRF7
RGS2	WDR74
HDAC1	HSPA4
SPP1	HCK
SNF8	UBC
TAF9	SUPT7L
FOS	XBP1
RPL41	TBP
KIDINS220	YWHAB
AANAT	YWHAZ
HSPA5	A2M
MAFF	SEPP1
PTGIR	UBC
DCC	UBC
HIF1A	MYC
CD274	RAD21
IRF7	CXCL10
UBC	ZW10
HLA-C	IFI30
RPL11	PML
CSF3	CXCR4
NEDD4	ISG15
MCM6	PSMA1
MT1X	NR3C1
UBC	UGDH
HLA-C	CD8A
RAB13	SMAD4
GBP1	HLA-A
ACTB	NRAP
RPLP1	TBP
RGS2	RIN3
CALCRL	ADM
PAX7	UBC
STAG2	RAD21
LGALS3BP	STAT1
FOS	RTN4
CTNNA1	IRF3
HGF	IL6
IAPP	TGFBI
OAS2	ISG15
HIF1A	HSPA4
MMP9	FN1
ELMO1	HCK
NR1H3	NCOA6
ADRA1B	NR3C1
YWHAG	DCP1A
FOS	IQCD
USP5	UBC
CDH1	UBC
CALR	NR3C1
MATR3	UBC
UBE2D3	NFKB1
CEBPB	PPP1R15B
CTSS	CST3
RAD18	UBC
NEK2	PSMA6
DDOST	UBC
UBC	NUMB
CXCL2	CCR1
NETO2	RAD21
GTF2B	PSMC2
YWHAZ	CSNK1A1
TIMP1	FOS
CCR3	CCL20
YWHAZ	TSC2
NUP35	TBK1
GTF2B	IER5
FOS	ZBTB20
TIMP1	PPBP
FOS	NLE1
PPP1R13B	UBC
NCOA6	TUBB
NBPF1	RAD21
ATP6V0B	ATP6V1A
GDNF	FOS
TRIM25	ISG15
UBE2L6	SIAH2
ART4	FOS
IL5	FOS
RPLP1	NCBP1
AQP2	UBC
CEBPB	SMAD4
HIF1A	NSFL1C
TNFRSF1A	TNFAIP3
ADM	TUBB3
TKT	UBC
NPNT	HCK
ISG15	RSAD2
IRF5	IRF7
RGS2	GNAI3
MSN	BCAP31
TIMP1	ALB
CEBPB	PCNA
MAFK	TUBB
MME	ZMPSTE24
SMA4	EEF1A1
GATAD2A	IRF1
UBA52	SQSTM1
ATG7	CEBPB
OASL	IFITM1
H1F0	KPNB1
CSNK1D	RNF135
AKAP8L	UBC
HSPA5	ATF4
ANXA2	VCL
CUL5	HSP90AA1
MX2	IFITM1
TAP1	MDFI
FOS	SFPQ
FOSL2	PSMA6
SOD1	CCS
CST3	CTSB
CXXC1	NR3C1
STAT1	CD40
CCL2	ZNF503
LSM3	EEF1A1
MAFF	PIK3R1
UBE2L6	ISG15
HCLS1	LYN
DCTN1	STAT1
FOS	ZNF689
RGS2	EDNRA
KPNB1	PTMA
ARRB1	RNF135
TCEB1	UBC
PTH	IL6
UBC	UBE2E1
FOS	UBR1
FGA	TGFBI
SDC1	MMP9
MYD88	TLR3
TTC1	HSPA1A
MAD2L1BP	STAT1
CEBPB	UBE2F
DDIT3	SPOP
HIF1A	MCM3
B2M	FYN
MAPT	UBC
DNM1	MX1
DTX3	UBE2L6
HIST2H2BE	DYRK2
TCF4	UBC
RBX1	PSMB4
H1F0	IKBKG
CALR	BBS4
HSPA8	FTL
PRKCI	YWHAZ
ANKHD1	IRF3
CREBBP	STAT1
AHSA1	HSP90AA1
MARS	UBC
RPS19	RPS3A
CCL2	GADD45A
UBC	PSMD13
YWHAG	ZFP36
USP7	UBC
TIMP1	FIGF
UBC	PCNA
CHTF18	HSP90AA1
COPS5	YWHAZ
HERPUD1	ARHGDIA
ANXA2	SMARCB1
PPP1CA	ACTB
BAG1	HSPA8
RPL8	ETF1
ITGAM	C3
PPIE	PSMB8
HSPA4	UBC
MDK	STAT1
TIMP1	F5
ATF3	TPP1
MME	LYN
CD63	RAD21
KLRD1	B2M
CCNB1	HERC5
SMAD2	COPS5
YWHAG	NDE1
YWHAG	TP53BP2
TAP1	TAPBP
IRF1	B2M
PPARD	UBC
HSPA5	PRKACA
AXL	NR3C1
NFKB1	TLR3
TSC1	UBC
FOS	SMAD3
RPLP1	ASCC2
APITD1	TBK1
MRPL38	NR3C1
ACTL6B	TBK1
VPS4B	UBC
EPRS	LAP3
BCAT1	FOS
MAFF	RABL3
CNOT3	FOS
GHRH	FOS
BRCA1	CCL2
COPS4	UBC
CEBPB	TRIB3
CCL2	NEUROD1
